Type,Code,Value,Comment
Reload,30030,Initiating the SSL Engine failed. / Initiating the SSL Engine failed,libcurl error
Reload,30031,Remote server login was denied. / Remote server login denied,libcurl error
Reload,30032,File on FTP server not found. / File on FTP server not found,libcurl error
Reload,30033,Illegal TFTP operation. / Illegal TFTP operation,libcurl error
Reload,30034,Error occurred during SSH session. / Error occurred during SSH session,libcurl error
Reload,30100,"The generated set expression is too long. Reduce the length, for example by making a smaller set of selections, and regenerate the set expression. / Set analysis expression too large",In Qlik Sense when a generated set expression is too long
Reload,61409,Authentication failed. The user was not found in the database.,
Reload progress,0,{0},"Empty message, showing parameters {0};"
Reload progress,1,Saving state and data,"Showed in the script editor progress dialog, saving state and data; "
Reload progress,2,Bytes left for column id: {0},Showed in the script editor progress dialog;  Bytes left for column id: {0}
Reload progress,3,Now storing table: {0},Showed in the script editor progress dialog;  Now storing table: {0}
Reload progress,4,Rows fetched so far: {0},Showed in the script editor progress dialog;  Rows fetched so far: {0}
Reload progress,5,Connected,Showed in the script editor progress dialog; Connected
Reload progress,6,Connecting to {0},Showed in the script editor progress dialog; Connecting to:
Reload progress,7,Failed to connect,Showed in the script editor progress dialog; Failed to connect
Reload progress,8,(QVD (row-based) optimized),Showed in the script editor progress dialog; old QVD
Reload progress,9,(QVD columnar optimized),Showed in the script editor progress dialog;
Reload progress,10,Script error: {0},Showed in the script editor progress dialog; Script error; showing error {0}
Reload progress,11,Done,Showed in the script editor progress dialog; Done
Reload progress,12,,Showed in the script editor progress dialog; empty message
Reload progress,13,Columnar QVD file detected. Use STORE INTO to optimize and make this file row-based.,"Showed in the script editor progress dialog; Columnar detected; Do not translate [QVD,STORE INTO]."
Reload progress,14,Loading QVC file: {0},Showed in the script editor progress dialog;  Loading QVC file:  with file as {0}; Do not translate [QVC]
Reload progress,15,(buffered),Showed in the script editor progress dialog;
Reload progress,16,preparing,Showed in the script editor progress dialog; preparing
Reload progress,17,appending,Showed in the script editor progress dialog; appending
Reload progress,18,Removing synthetic {0},Showed in the script editor progress dialog; Removing synthetic
Reload progress,19,(fetching),Showed in the script editor progress dialog; fetching
Reload progress,20,Reloading: {0},Showed in the script editor progress dialog; Reloading
Reload progress,21,Lines fetched: {0},Showed in the script editor progress dialog; Lines fetched
Reload progress,22,Creating search index,Shown in the data load editor progress dialog while search index is created.
Reload progress,23,Indexing field: {0},Shown in the data load editor progress dialog to show field being indexed during search index creation.
Reload progress,24,Search index creation completed successfully,Shown in the data load editor progress dialog when search index has been created.
Reload progress,25,The search index is incomplete. Smart Search might be slower than expected.,Shown in the data load editor progress dialog when search index has not been created successfully.
Reload progress,26,Canceling creation of search index,Shown in the data load editor progress dialog when search index creation is being canceled.
Reload progress,27,Canceled creation of search index. Smart Search might be slower than expected.,Shown in the data load editor progress dialog when search index creation has been canceled.
Reload progress,28,The search index is incomplete: timed out. Smart Search might be slower than expected.,Shown in the data load editor progress dialog when search index creation timed out.
Reload progress,29,The search index is incomplete: not enough memory. Smart Search might be slower than expected.,Shown in the data load editor progress dialog when search index creation has gone out of the memory limit.
Reload progress,30,Access was denied after reload. Check that the user that reloads the script is included in the section access part of the script.,Shown in the data load editor progress dialog when the reloading user looses access to the app after reload.
Extra,422,Unprocessable Entity,
Extra,423,Unknown error,
Extra,429,Too Many Requests,
Extra,1015,Static App size exceeded,
Extra,1016,Direct Query mode not supported,
Extra,1017,Unknown error,
Extra,1018,App event source timeout,
Extra,2005,Connection is missing credentials,
Extra,9010,Unknown error,
Extra,9011,Object locked,
Extra,9012,Encryption key migration ongoing,
Extra,11047,Unsupported or bad format in QVD file,
Extra,11048,Action is blocked due to that an entitlement quota limit has been reached.,
Extra,21000,Too many fields in file,
Extra,21001,Too many tables in file,
Extra,33000,Unknown error,
Extra,33001,Unknown error,
Extra,33002,Unknown error,
Extra,33003,Unknown error,
Extra,33004,Unknown error,
Extra,33005,Unknown error,
Extra,33006,Unknown error,
Extra,33007,Unknown error,
Extra,25000,Invalid trendline def,
Extra,25001,Math error,
Extra,30101,Merge Load error: {0},
Extra,30200,The FTP operation was not completed because the session was aborted,
Extra,30201,Passive mode is not available on the server,
Extra,30210,The server did not return any headers,
Extra,30211,The server response could not be parsed,
Extra,30212,The redirection requires user confirmation,
Extra,30220,The function needs to redo the request,
Extra,30221,The attempt to connect to the server failed,
Extra,30222,The connection with the server has been terminated,
Extra,30223,The connection with the server has been reset,
Extra,30224,The Internet connection has been lost,
Extra,30225,The format of the request is invalid,
Extra,30226,The function is unfamiliar with the Certificate Authority that generated the server's certificate,
Extra,30227,The requested operation is invalid,
Extra,30228,The URL is invalid,
Extra,30229,The requested item could not be located,
Extra,30230,The request to connect and log on to an FTP server failed,
Extra,30231,The server name could not be resolved,
Extra,30232,A user interface or other blocking operation has been requested,
Extra,30233,SSL certificate common name(host name field) is incorrect. For example  if you entered www.server.com  and the common name on the certificate says www.different.com,
Extra,30234,SSL certificate date that was received from the server is invalid. The certificate has expired,
Extra,30235,The SSL certificate contains errors,
Extra,30236,The SSL certificate is invalid,
Extra,30237,The website or server indicated is unreachable,
Extra,31000,Unknown error,
